date,exporter,import_quantity_actual,import_quantity_pred,unit_price_actual,unit_price_pred
2010-05-01,US,706071.36,2298529.536,438.691024090768,442.0052177217522
2010-06-01,US,276897.664,706071.36,437.374321798405,438.691024090768
2010-07-01,US,48371.112,276897.664,417.944743539947,437.374321798405
2010-08-01,US,235670.16,48371.112,422.23341300221364,417.944743539947
2010-09-01,US,279413.76,235670.16,464.50559914993266,422.23341300221364
2010-10-01,US,562448.96,279413.76,481.68859268495817,464.50559914993266
2010-11-01,US,3784147.456,562448.96,511.3611471274255,481.68859268495817
2010-12-01,US,4887384.064,3784147.456,532.8349329412281,511.3611471274255
2011-01-01,US,4731048.448,4887384.064,558.1673552964304,532.8349329412281
2011-02-01,US,2318967.04,4731048.448,583.7266026857443,558.1673552964304
2011-03-01,US,3440848.384,2318967.04,592.843595633247,583.7266026857443
2011-04-01,US,2817992.382,3440848.384,586.2921410124003,592.843595633247
2011-05-01,US,1567251.328,2817992.382,580.8596284050615,586.2921410124003
2011-06-01,US,331430.496,1567251.328,555.2168379805483,580.8596284050615
2011-07-01,US,59360.944,331430.496,582.399093912954,555.2168379805483
2011-08-01,US,196560.56,59360.944,566.0797466156686,582.399093912954
2011-09-01,US,285963.04,196560.56,569.3372402231795,566.0797466156686
2011-10-01,US,538872.96,285963.04,570.6444502233502,569.3372402231795
2011-11-01,US,2467427.818,538872.96,542.1726075390538,570.6444502233502
2011-12-01,US,3597153.536,2467427.818,535.282724167675,542.1726075390538
2012-01-01,US,3138450.944,3597153.536,525.6747094146947,535.282724167675
2012-02-01,US,3180338.176,3138450.944,518.4685969695701,525.6747094146947
2012-03-01,US,3768072.704,3180338.176,532.3546368598592,518.4685969695701
2012-04-01,US,2278635.776,3768072.704,545.4785521630705,532.3546368598592
2012-05-01,US,1322722.432,2278635.776,565.6410550686377,545.4785521630705
2012-06-01,US,698343.424,1322722.432,591.5133468764625,565.6410550686377
2012-07-01,US,649656.64,698343.424,597.6800544967913,591.5133468764625
2012-08-01,US,395169.472,649656.64,616.2590211406405,597.6800544967913
2012-09-01,US,1064190.592,395169.472,679.3298619946085,616.2590211406405
2016-01-01,US,3899820.043,1064190.592,458.6274946737437,679.3298619946085
2016-02-01,US,3211453.306,3899820.043,458.627494675939,458.6274946737437
2016-03-01,US,3747470.518,3211453.306,458.62749466453346,458.627494675939
2016-04-01,US,1699134.993,3747470.518,458.62749470167694,458.62749466453346
2016-05-01,US,468841.47,1699134.993,458.6274951307984,458.62749470167694
2016-06-01,US,119948.493,468841.47,458.6274960498368,458.6274951307984
2016-07-01,US,4253.138,119948.493,458.62748858404603,458.6274960498368
2016-08-01,US,340185.05,4253.138,458.62749406401423,458.62748858404603
2016-09-01,US,1295060.422,340185.05,458.6274948332421,458.62749406401423
2016-10-01,US,2248398.129,1295060.422,458.6274947036043,458.6274948332421
2016-11-01,US,5257626.376,2248398.129,458.6274947201652,458.6274947036043
2016-12-01,US,7718566.695,5257626.376,458.6274946995896,458.6274947201652
2017-01-01,US,6317824.498,7718566.695,465.60871308323806,458.6274946995896
2017-02-01,US,4375487.719,6317824.498,438.11744223971436,465.60871308323806
2017-03-01,US,4167369.063,4375487.719,438.11744229948516,438.11744223971436
2017-04-01,US,1737916.674,4167369.063,438.1174422172336,438.11744229948516
2017-05-01,US,1395902.573,1737916.674,438.1174423120444,438.1174422172336
2017-06-01,US,356169.225,1395902.573,438.11744262734067,438.1174423120444
2017-07-01,US,455155.186,356169.225,438.11744243107864,438.11744262734067
2017-08-01,US,166414.637,455155.186,438.1174415539054,438.11744243107864
2017-09-01,US,872669.237,166414.637,438.1174421982769,438.1174415539054
2017-10-01,US,1175661.998,872669.237,465.60871315969376,438.1174421982769
2017-11-01,US,4432145.997,1175661.998,438.11744227602475,465.60871315969376
2017-12-01,US,5548262.11,4432145.997,465.6087131037748,438.11744227602475
