period,partner_desc,net_weight_tons,primary_value_usd,quantity_tons,value_usd,tariff_rate,data_quality_score
201812,Argentina,186640.0,82561416.0,186640.0,82561416.0,0.03,100
201812,USA,69298.5,31381584.0,69298.5,31381584.0,0.03,100
201901,Brazil,4932690.0,2224724082.0,4932690.0,2224724082.0,0.03,100
201901,Argentina,985088.0,442420654.0,985088.0,442420654.0,0.03,100
201901,USA,135772.0,62320214.0,135772.0,62320214.0,0.03,100
201902,Brazil,1986310.0,883058227.0,1986310.0,883058227.0,0.03,100
201902,USA,907937.0,366843299.0,907937.0,366843299.0,0.03,100
201902,Argentina,841124.0,382890656.0,841124.0,382890656.0,0.03,100
201903,Brazil,2791500.0,1138520247.0,2791500.0,1138520247.0,0.03,100
201903,USA,1510880.0,605837160.0,1510880.0,605837160.0,0.03,100
201903,Argentina,322858.0,145866119.0,322858.0,145866119.0,0.03,100
201904,Brazil,5786130.0,2316554096.0,5786130.0,2316554096.0,0.03,100
201904,USA,1754610.0,700641004.0,1754610.0,700641004.0,0.03,100
201905,Brazil,6353170.0,2470520341.0,6353170.0,2470520341.0,0.03,100
201905,USA,906139.0,363455765.0,906139.0,363455765.0,0.03,100
201905,Argentina,0.067,901.0,0.067,901.0,0.03,100
201906,Brazil,5447230.0,2030044181.0,5447230.0,2030044181.0,0.03,100
201906,USA,614806.0,242604716.0,614806.0,242604716.0,0.03,100
201906,Argentina,255216.0,101155977.0,255216.0,101155977.0,0.03,100
201907,Brazil,6421600.0,2391964824.0,6421600.0,2391964824.0,0.03,100
201907,Argentina,1073190.0,420455261.0,1073190.0,420455261.0,0.03,100
201907,USA,911874.0,358686585.0,911874.0,358686585.0,0.03,100
201908,Brazil,6684300.0,2569831237.0,6684300.0,2569831237.0,0.03,100
201908,USA,1674990.0,662669066.0,1674990.0,662669066.0,0.03,100
201908,Argentina,655055.0,257361754.0,655055.0,257361754.0,0.03,100
201909,Brazil,4787700.0,1872842651.0,4787700.0,1872842651.0,0.03,100
201909,USA,1729780.0,669783156.0,1729780.0,669783156.0,0.03,100
201909,Argentina,976485.0,366764824.0,976485.0,366764824.0,0.03,100
201910,Brazil,3792970.0,1496016219.0,3792970.0,1496016219.0,0.03,100
201910,USA,1147340.0,441530529.0,1147340.0,441530529.0,0.03,100
201910,Argentina,960093.0,368424714.0,960093.0,368424714.0,0.03,100
201911,Brazil,3859190.0,1590097530.0,3859190.0,1590097530.0,0.03,100
201911,USA,2557040.0,990097653.0,2557040.0,990097653.0,0.03,100
201911,Argentina,1417110.0,563485555.0,1417110.0,563485555.0,0.03,100
201912,Brazil,4832360.0,2015734223.0,4832360.0,2015734223.0,0.03,100
201912,USA,3092570.0,1217746112.0,3092570.0,1217746112.0,0.03,100
201912,Argentina,1304930.0,528483129.0,1304930.0,528483129.0,0.03,100
202001,USA,3393930.0,1369942860.0,3393930.0,1369942860.0,0.03,100
202001,Brazil,2933870.0,1201632725.0,2933870.0,1201632725.0,0.03,100
202001,Argentina,1370370.0,553157943.0,1370370.0,553157943.0,0.03,100
202002,USA,2707350.0,1099411081.0,2707350.0,1099411081.0,0.03,100
202002,Brazil,2205210.0,905567741.0,2205210.0,905567741.0,0.03,100
202002,Argentina,432177.0,175458524.0,432177.0,175458524.0,0.03,100
202003,Brazil,2098810.0,846103674.0,2098810.0,846103674.0,0.03,100
202003,USA,1711660.0,693457016.0,1711660.0,693457016.0,0.03,100
202003,Argentina,335957.014,135535728.0,335957.014,135535728.0,0.03,100
202004,Brazil,5939570.0,2318063159.0,5939570.0,2318063159.0,0.03,100
202004,USA,665591.0,264393084.0,665591.0,264393084.0,0.03,100
202004,Argentina,56165.02,21648376.0,56165.02,21648376.0,0.03,100
202005,Brazil,8862170.0,3396843949.0,8862170.0,3396843949.0,0.03,100
202005,USA,491461.0,188315544.0,491461.0,188315544.0,0.03,100
202005,Argentina,0.05,2018.0,0.05,2018.0,0.03,100
202006,Brazil,10510700.0,3954499955.0,10510700.0,3954499955.0,0.03,100
202006,Argentina,305939.0,115694930.0,305939.0,115694930.0,0.03,100
202006,USA,267553.0,106878186.0,267553.0,106878186.0,0.03,100
202007,Brazil,8179430.0,3061256100.0,8179430.0,3061256100.0,0.03,100
202007,Argentina,1532390.0,574836752.0,1532390.0,574836752.0,0.03,100
202007,USA,38331.3,16092246.0,38331.3,16092246.0,0.03,100
202008,Brazil,8149490.0,3065828302.0,8149490.0,3065828302.0,0.03,100
202008,Argentina,977539.0,372762856.0,977539.0,372762856.0,0.03,100
202008,USA,166370.0,63184629.0,166370.0,63184629.0,0.03,100
202009,Brazil,7244760.0,2759605848.0,7244760.0,2759605848.0,0.03,100
202009,USA,1168070.0,457720069.0,1168070.0,457720069.0,0.03,100
202009,Argentina,1003960.0,374964905.0,1003960.0,374964905.0,0.03,100
202010,Brazil,4233590.0,1699119726.0,4233590.0,1699119726.0,0.03,100
202010,USA,3389380.0,1357743252.0,3389380.0,1357743252.0,0.03,100
202010,Argentina,812983.0,317017481.0,812983.0,317017481.0,0.03,100
202011,USA,6039990.0,2507227822.0,6039990.0,2507227822.0,0.03,100
202011,Brazil,2742700.0,1178940320.0,2742700.0,1178940320.0,0.03,100
202011,Argentina,497027.0,200279116.0,497027.0,200279116.0,0.03,100
202012,USA,5834470.0,2526106493.0,5834470.0,2526106493.0,0.03,100
202012,Brazil,1177140.0,518308039.0,1177140.0,518308039.0,0.03,100
202012,Argentina,131362.0,55578941.0,131362.0,55578941.0,0.03,100
202101,USA,6667970.0,3043428968.0,6667970.0,3043428968.0,0.03,100
202101,Brazil,998241.0,458888106.0,998241.0,458888106.0,0.03,100
202101,Argentina,36486.0,19148895.0,36486.0,19148895.0,0.03,100
202102,USA,5259340.0,2559580542.0,5259340.0,2559580542.0,0.03,100
202102,Argentina,45230.0,17133750.0,45230.0,17133750.0,0.03,100
202102,Brazil,33450.0,17791381.0,33450.0,17791381.0,0.03,100
202103,USA,7120110.0,3580392105.0,7120110.0,3580392105.0,0.03,100
202103,Brazil,315361.0,175020525.0,315361.0,175020525.0,0.03,100
202104,Brazil,5075720.0,2802169789.0,5075720.0,2802169789.0,0.03,100
202104,USA,2152670.0,1138489156.0,2152670.0,1138489156.0,0.03,100
202105,Brazil,9234890.0,4884446112.0,9234890.0,4884446112.0,0.03,100
202105,USA,244595.0,151937499.0,244595.0,151937499.0,0.03,100
202106,Brazil,10415900.0,5844721258.0,10415900.0,5844721258.0,0.03,100
202106,Argentina,82800.0,45678837.0,82800.0,45678837.0,0.03,100
202106,USA,54805.7,32728752.0,54805.7,32728752.0,0.03,100
202107,Brazil,7874100.0,4563077592.0,7874100.0,4563077592.0,0.03,100
202107,Argentina,660569.0,336738620.0,660569.0,336738620.0,0.03,100
202107,USA,42276.9,25941140.0,42276.9,25941140.0,0.03,100
202108,Brazil,9013530.0,5267814115.0,9013530.0,5267814115.0,0.03,100
202108,Argentina,136906.0,84955951.0,136906.0,84955951.0,0.03,100
202108,USA,17575.8,11353984.0,17575.8,11353984.0,0.03,100
202109,Brazil,5935810.01,3530747481.0,5935810.01,3530747481.0,0.03,100
202109,Argentina,524538.0,315420717.0,524538.0,315420717.0,0.03,100
202109,USA,169439.0,99175291.0,169439.0,99175291.0,0.03,100
202110,Brazil,3297010.0,1988972290.0,3297010.0,1988972290.0,0.03,100
202110,Argentina,923177.0,540106413.0,923177.0,540106413.0,0.03,100
202110,USA,774261.0,455607458.0,774261.0,455607458.0,0.03,100
202111,Brazil,3753250.0,2232298524.0,3753250.0,2232298524.0,0.03,100
202111,USA,3318570.0,1981556697.0,3318570.0,1981556697.0,0.03,100
202111,Argentina,963502.0,575021471.0,963502.0,575021471.0,0.03,100
202112,USA,5801130.0,3477519094.0,5801130.0,3477519094.0,0.03,100
202112,Brazil,2116400.0,1324888756.0,2116400.0,1324888756.0,0.03,100
202112,Argentina,338112.0,195989669.0,338112.0,195989669.0,0.03,100
202201,USA,6192075.0,3724575472.0,6192075.0,3724575472.0,0.03,100
202201,Brazil,2215180.0,1354226330.0,2215180.0,1354226330.0,0.03,100
202201,Argentina,122511.0,73261606.0,122511.0,73261606.0,0.03,100
202202,USA,3186315.91,1934845081.0,3186315.91,1934845081.0,0.03,100
202202,Brazil,1291600.0,779887084.0,1291600.0,779887084.0,0.03,100
202203,Brazil,2864140.0,1826528169.0,2864140.0,1826528169.0,0.03,100
202203,USA,2838643.8,1759430945.0,2838643.8,1759430945.0,0.03,100
202204,Brazil,6301570.128,4210168539.0,6301570.128,4210168539.0,0.03,100
202204,USA,1626787.23,1046760448.0,1626787.23,1046760448.0,0.03,100
202205,Brazil,7793330.0,5180100052.0,7793330.0,5180100052.0,0.03,100
202205,USA,1732683.98,1209724633.0,1732683.98,1209724633.0,0.03,100
202206,Brazil,7237560.0,5014316561.0,7237560.0,5014316561.0,0.03,100
202206,USA,772985.67,583943333.0,772985.67,583943333.0,0.03,100
202206,Argentina,0.036,337.0,0.036,337.0,0.03,100
202207,Brazil,6971460.0,5089855274.0,6971460.0,5089855274.0,0.03,100
202207,USA,381567.54,285962499.0,381567.54,285962499.0,0.03,100
202207,Argentina,139573.0,95479123.0,139573.0,95479123.0,0.03,100
202208,Brazil,6245250.0,4504908851.0,6245250.0,4504908851.0,0.03,100
202208,USA,288027.93,207160919.0,288027.93,207160919.0,0.03,100
202208,Argentina,197625.0,145213344.0,197625.0,145213344.0,0.03,100
202209,Brazil,5576550.002,3984801652.0,5576550.002,3984801652.0,0.03,100
202209,USA,1153320.739,831205852.0,1153320.739,831205852.0,0.03,100
202209,Argentina,348973.0,249976317.0,348973.0,249976317.0,0.03,100
202210,Brazil,2795520.0,1940126840.0,2795520.0,1940126840.0,0.03,100
202210,USA,772787.001,530313201.0,772787.001,530313201.0,0.03,100
202210,Argentina,144720.0,103090490.0,144720.0,103090490.0,0.03,100
202211,USA,3288285.46,2211529386.0,3288285.46,2211529386.0,0.03,100
202211,Brazil,2536520.0,1713258187.0,2536520.0,1713258187.0,0.03,100
202211,Argentina,1105440.0,732402554.0,1105440.0,732402554.0,0.03,100
202212,USA,5568056.298,3708840089.0,5568056.298,3708840089.0,0.03,100
202212,Brazil,2564160.0,1703210325.0,2564160.0,1703210325.0,0.03,100
202212,Argentina,1459110.0,934850601.0,1459110.0,934850601.0,0.03,100
202301,USA,4605600.0,3089011658.0,4605600.0,3089011658.0,0.03,100
202301,Brazil,1831540.0,1230943459.0,1831540.0,1230943459.0,0.03,100
202301,Argentina,1296590.006,836824407.0,1296590.006,836824407.0,0.03,100
202302,USA,5632410.489,3804371083.0,5632410.489,3804371083.0,0.03,100
202302,Brazil,408681.0,280615243.0,408681.0,280615243.0,0.03,100
202302,Argentina,59800.0,40806199.0,59800.0,40806199.0,0.03,100
202303,USA,4687733.77,3121174150.0,4687733.77,3121174150.0,0.03,100
